date,t_1,t_5,t_10,t_20,t_30
1/1/1962,3.1,3.7,3.95,,
1/1/1963,3.36,3.83,4,,
1/1/1964,3.85,4.07,4.19,,
1/1/1965,4.15,4.25,4.28,,
1/1/1966,5.2,5.11,4.93,,
1/1/1967,4.88,5.1,5.07,,
1/1/1968,5.69,5.7,5.64,,
1/1/1969,7.12,6.93,6.67,,
1/1/1970,6.9,7.38,7.35,,
1/1/1971,4.89,5.99,6.16,,
1/1/1972,4.95,5.98,6.21,,
1/1/1973,7.32,6.87,6.85,,
1/1/1974,8.2,7.82,7.56,,
1/1/1975,6.78,7.78,7.99,,
1/1/1976,5.88,7.18,7.61,,
1/1/1977,6.08,6.99,7.42,,7.75
1/1/1978,8.34,8.32,8.41,,8.49
1/1/1979,10.65,9.51,9.43,,9.28
1/1/1980,12,11.45,11.43,,11.27
1/1/1981,14.8,14.25,13.92,,13.45
1/1/1982,12.27,13.01,13.01,,12.76
1/1/1983,9.58,10.79,11.1,,11.18
1/1/1984,10.91,12.26,12.46,,12.41
1/1/1985,8.42,10.12,10.62,,10.79
1/1/1986,6.45,7.3,7.67,,7.78
1/1/1987,6.77,7.94,8.39,,8.59
1/1/1988,7.65,8.48,8.85,,8.96
1/1/1989,8.53,8.5,8.49,,8.45
1/1/1990,7.89,8.37,8.55,,8.61
1/1/1991,5.86,7.37,7.86,,8.14
1/1/1992,3.89,6.19,7.01,,7.67
1/1/1993,3.43,5.14,5.87,,6.59
1/1/1994,5.32,6.69,7.09,7.49,7.37
1/1/1995,5.94,6.38,6.57,6.95,6.88
1/1/1996,5.52,6.18,6.44,6.83,6.71
1/1/1997,5.63,6.22,6.35,6.69,6.61
1/1/1998,5.05,5.15,5.26,5.72,5.58
1/1/1999,5.08,5.55,5.65,6.2,5.87
1/1/2000,6.11,6.16,6.03,6.23,5.94
1/1/2001,3.49,4.56,5.02,5.63,5.49
1/1/2002,2,3.82,4.61,5.43,5.43
1/1/2003,1.24,2.97,4.01,4.96,
1/1/2004,1.89,3.43,4.27,5.04,
1/1/2005,3.62,4.05,4.29,4.64,
1/1/2006,4.94,4.75,4.8,5,4.91
1/1/2007,4.53,4.43,4.63,4.91,4.84
1/1/2008,1.83,2.8,3.66,4.36,4.28
1/1/2009,0.47,2.2,3.26,4.11,4.08
1/1/2010,0.32,1.93,3.22,4.03,4.25
1/1/2011,0.18,1.52,2.78,3.62,3.91
1/1/2012,0.17,0.76,1.8,2.54,2.92
1/1/2013,0.13,1.17,2.35,3.12,3.45
1/1/2014,0.12,1.64,2.54,3.07,3.34
1/1/2015,0.32,1.53,2.14,2.55,2.84
1/1/2016,0.61,1.33,1.84,2.22,2.59
1/1/2017,1.15,1.88,2.32,2.66,2.91